title,budget,runtime,original_language,release_date,revenue,genre
Hugo,170000000,126.0,en,2011-11-22,185770160,Adventure
Wild Wild West,170000000,106.0,en,1999-06-29,222104681,Action
The Mummy: Tomb of the Dragon Emperor,145000000,112.0,en,2008-07-01,401128639,Adventure
Suicide Squad,175000000,123.0,en,2016-08-02,745000000,Action
Evan Almighty,175000000,96.0,en,2007-06-09,173000000,Fantasy
Edge of Tomorrow,178000000,113.0,en,2014-05-27,370541256,Action
Waterworld,175000000,135.0,en,1995-07-28,264218220,Adventure
G.I. Joe: The Rise of Cobra,175000000,118.0,en,2009-08-04,302469017,Adventure
Inside Out,175000000,94.0,en,2015-06-09,857611174,Drama
The Jungle Book,175000000,106.0,en,2016-04-07,966550600,
Iron Man 2,200000000,124.0,en,2010-04-28,623933331,Adventure
Snow White and the Huntsman,170000000,127.0,en,2012-05-30,396600000,Adventure
Maleficent,180000000,97.0,en,2014-05-28,758539785,Fantasy
Dawn of the Planet of the Apes,170000000,130.0,en,2014-06-26,710644566,Science Fiction
The Lovers,27000000,109.0,en,2015-02-13,0,Action
47 Ronin,175000000,119.0,en,2013-12-06,150962475,Drama
Captain America: The Winter Soldier,170000000,136.0,en,2014-03-20,714766572,Action
Shrek Forever After,165000000,93.0,en,2010-05-16,752600867,Comedy
Tomorrowland,190000000,130.0,en,2015-05-19,209154322,Adventure
Big Hero 6,165000000,102.0,en,2014-10-24,652105443,Adventure
Wreck-It Ralph,165000000,108.0,en,2012-11-01,471222889,
The Polar Express,165000000,100.0,en,2004-11-10,305875730,Adventure
Independence Day: Resurgence,165000000,120.0,en,2016-06-22,389681935,Action
How to Train Your Dragon,165000000,98.0,en,2010-03-05,494878759,Fantasy
Terminator 3: Rise of the Machines,200000000,109.0,en,2003-07-02,435000000,Action
Guardians of the Galaxy,170000000,121.0,en,2014-07-30,773328629,Action
Interstellar,165000000,169.0,en,2014-11-05,675120017,Adventure
Inception,160000000,148.0,en,2010-07-14,825532764,Action
Shin Godzilla,15000000,120.0,ja,2016-07-29,77000000,Action
The Hobbit: An Unexpected Journey,250000000,169.0,en,2012-11-26,1021103568,Adventure
The Fast and the Furious,38000000,106.0,en,2001-06-22,207283925,Action
The Curious Case of Benjamin Button,150000000,166.0,en,2008-11-24,333932083,Fantasy
X-Men: First Class,160000000,132.0,en,2011-05-24,353624124,Action
The Hunger Games: Mockingjay - Part 2,160000000,137.0,en,2015-11-18,653428261,Action
The Sorcerer's Apprentice,150000000,109.0,en,2010-07-13,215283742,Fantasy
Poseidon,160000000,99.0,en,2006-05-12,181674817,Adventure
Alice Through the Looking Glass,170000000,113.0,en,2016-05-25,299370084,Fantasy
Shrek the Third,160000000,93.0,en,2007-05-17,798958165,Fantasy
Warcraft,160000000,123.0,en,2016-05-25,433677183,Action
Terminator Genisys,155000000,126.0,en,2015-06-23,440603537,Science Fiction
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,113.0,en,2010-08-13,415686217,Adventure
Pearl Harbor,140000000,183.0,en,2001-05-21,449220945,
Transformers,150000000,144.0,en,2007-06-27,709709780,Adventure
Alexander,155000000,175.0,en,2004-11-21,167298192,
Harry Potter and the Order of the Phoenix,150000000,138.0,en,2007-06-28,938212738,Adventure
Harry Potter and the Goblet of Fire,150000000,157.0,en,2005-11-05,895921036,Adventure
Hancock,150000000,92.0,en,2008-07-01,624029371,Fantasy
I Am Legend,150000000,101.0,en,2007-12-14,585349010,Drama
Charlie and the Chocolate Factory,150000000,115.0,en,2005-07-13,474968763,Adventure
Ratatouille,150000000,111.0,en,2007-06-22,623722818,Animation
Batman Begins,150000000,140.0,en,2005-06-10,374218673,Action
Madagascar: Escape 2 Africa,150000000,89.0,en,2008-10-30,603900354,
Night at the Museum: Battle of the Smithsonian,150000000,105.0,en,2009-05-20,413106170,Adventure
X-Men Origins: Wolverine,150000000,107.0,en,2009-04-28,373062864,Adventure
The Matrix Revolutions,150000000,129.0,en,2003-11-05,424988211,Adventure
Frozen,150000000,102.0,en,2013-11-27,1274219009,Animation
The Matrix Reloaded,150000000,138.0,en,2003-05-15,738599701,Adventure
Thor: The Dark World,170000000,112.0,en,2013-10-29,644571402,Action
Mad Max: Fury Road,150000000,120.0,en,2015-05-13,378858340,Action
Angels & Demons,150000000,138.0,en,2009-05-13,356613439,Thriller
Thor,150000000,115.0,en,2011-04-21,449326618,Adventure
Bolt,150000000,98.0,en,2008-11-21,309979994,Animation
G-Force,150000000,88.0,en,2009-07-21,292817841,Fantasy
Wrath of the Titans,150000000,99.0,en,2012-03-27,301000000,Adventure
Dark Shadows,150000000,113.0,en,2012-05-08,245527149,Comedy
Mission: Impossible - Rogue Nation,150000000,131.0,en,2015-07-23,682330139,Action
The Wolfman,150000000,102.0,en,2010-02-11,0,Drama
Bee Movie,150000000,91.0,en,2007-10-28,287594577,
Kung Fu Panda 2,150000000,91.0,en,2011-05-25,665692281,Animation
The Last Airbender,150000000,103.0,en,2010-06-30,318502923,Action
Mission: Impossible III,150000000,126.0,en,2006-05-03,397850012,Adventure
White House Down,150000000,131.0,en,2013-06-27,205366737,Action
Mars Needs Moms,150000000,88.0,en,2011-03-09,38992758,Adventure
Flushed Away,149000000,85.0,en,2006-10-22,64459316,Adventure
Pan,150000000,111.0,en,2015-09-24,128388320,Adventure
Mr. Peabody & Sherman,145000000,92.0,en,2014-02-07,272912430,Animation
Troy,175000000,163.0,en,2004-05-13,497409852,Adventure
Madagascar 3: Europe's Most Wanted,145000000,93.0,en,2012-06-06,746921274,Animation
Die Another Day,140000000,133.0,en,2002-11-17,431971116,Adventure
Ghostbusters,144000000,116.0,en,2016-07-14,229147509,Action
Armageddon,140000000,151.0,en,1998-07-01,553799566,Action
Men in Black II,140000000,88.0,en,2002-07-03,441818803,Action
Beowulf,70000000,115.0,en,2007-11-05,195735876,Adventure
Kung Fu Panda 3,145000000,95.0,en,2016-01-23,521170825,Action
Mission: Impossible - Ghost Protocol,145000000,133.0,en,2011-12-07,694713380,Action
Rise of the Guardians,145000000,97.0,en,2012-11-21,306941670,Fantasy
Fun with Dick and Jane,100000000,90.0,en,2005-12-21,202026112,Comedy
The Last Samurai,140000000,154.0,en,2003-12-05,456758981,Drama
Exodus: Gods and Kings,140000000,150.0,en,2014-12-03,268031828,Adventure
Star Trek,150000000,127.0,en,2009-05-06,385680446,Science Fiction
Spider-Man,139000000,121.0,en,2002-05-01,821708551,Fantasy
How to Train Your Dragon 2,145000000,102.0,en,2014-06-12,609123048,Fantasy
Gods of Egypt,140000000,127.0,en,2016-02-25,150680864,Fantasy
Stealth,135000000,121.0,en,2005-07-28,76932943,Action
Watchmen,130000000,163.0,en,2009-03-05,185258983,Action
Lethal Weapon 4,140000000,127.0,en,1998-07-10,285444603,Action
Hulk,137000000,138.0,en,2003-06-19,245360480,Drama
G.I. Joe: Retaliation,130000000,110.0,en,2013-03-26,371876278,Adventure
Sahara,130000000,124.0,en,2005-04-06,119269486,Action
Final Fantasy: The Spirits Within,137000000,106.0,en,2001-07-02,85131830,Adventure
Captain America: The First Avenger,140000000,124.0,en,2011-07-22,370569774,Action
The World Is Not Enough,135000000,128.0,en,1999-11-08,361832400,Adventure
Master and Commander: The Far Side of the World,150000000,138.0,en,2003-11-14,212011111,Adventure
The Twilight Saga: Breaking Dawn - Part 2,120000000,115.0,en,2012-11-13,829000000,Adventure
Happy Feet Two,130000000,100.0,en,2011-11-17,150406466,Animation
The Incredible Hulk,150000000,114.0,en,2008-06-12,163712074,Science Fiction
The BFG,140000000,120.0,en,2016-06-01,183345589,Adventure
The Revenant,135000000,156.0,en,2015-12-25,532950503,
Turbo,135000000,96.0,en,2013-07-11,282570682,Animation
Rango,135000000,107.0,en,2011-03-02,245724603,Animation
Penguins of Madagascar,132000000,92.0,en,2014-11-22,373552094,
The Bourne Ultimatum,70000000,115.0,en,2007-08-03,442824138,Action
Kung Fu Panda,130000000,90.0,en,2008-06-04,631744560,Adventure
Ant-Man,130000000,117.0,en,2015-07-14,519311965,Science Fiction
The Hunger Games: Catching Fire,130000000,146.0,en,2013-11-15,847423452,Adventure
Home,135000000,94.0,en,2015-03-18,368871007,Fantasy
War of the Worlds,132000000,116.0,en,2005-06-28,591739379,Adventure
Bad Boys II,130000000,147.0,en,2003-07-18,273339556,Adventure
Puss in Boots,130000000,90.0,en,2011-10-28,554987477,Action
Salt,110000000,100.0,en,2010-07-21,293329073,Action
Noah,125000000,139.0,en,2014-03-20,362637473,Drama
The Adventures of Tintin,130000000,107.0,en,2011-10-25,371940071,Adventure
Harry Potter and the Prisoner of Azkaban,130000000,141.0,en,2004-05-31,789804554,Adventure
Australia,130000000,165.0,en,2008-11-18,49554002,Drama
After Earth,130000000,100.0,en,2013-05-30,243843127,Science Fiction
Dinosaur,127500000,82.0,en,2000-05-19,354248063,Animation
Night at the Museum: Secret of the Tomb,127000000,97.0,en,2014-12-17,349424282,Adventure
Megamind,130000000,95.0,en,2010-10-28,321887208,Animation
Harry Potter and the Philosopher's Stone,125000000,152.0,en,2001-11-16,976475550,Adventure
R.I.P.D.,130000000,96.0,en,2013-07-18,61648500,Fantasy
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,143.0,en,2003-07-09,655011224,Adventure
The Hunger Games: Mockingjay - Part 1,125000000,123.0,en,2014-11-18,752100229,Science Fiction
The Da Vinci Code,125000000,149.0,en,2006-05-17,767820459,Thriller
Rio 2,103000000,102.0,en,2014-03-19,500188435,Animation
X2,110000000,133.0,en,2003-04-24,407711549,Adventure
Fast Five,125000000,130.0,en,2011-04-20,626137675,Action
Sherlock Holmes: A Game of Shadows,125000000,129.0,en,2011-11-22,334615000,Adventure
Clash of the Titans,125000000,106.0,en,2010-04-01,232713139,Adventure
Total Recall,65000000,113.0,en,1990-06-01,261317921,Action
The 13th Warrior,160000000,102.0,en,1999-08-27,61698899,Adventure
The Bourne Legacy,130000000,120.0,en,2012-08-08,276572938,Action
Batman & Robin,125000000,125.0,en,1997-06-20,238207122,Action
How the Grinch Stole Christmas,123000000,104.0,en,2000-11-17,345141403,
The Day After Tomorrow,125000000,124.0,en,2004-05-26,544272402,Action
Mission: Impossible II,125000000,123.0,en,2000-05-24,546388105,Adventure
The Perfect Storm,120000000,130.0,en,2000-03-15,325756637,Drama
Fantastic 4: Rise of the Silver Surfer,130000000,92.0,en,2007-06-13,289047763,Adventure
Life of Pi,120000000,127.0,en,2012-11-20,609016565,Adventure
Ghost Rider,110000000,114.0,en,2007-02-16,228738393,Thriller
Jason Bourne,120000000,123.0,en,2016-07-27,415484914,Action
Charlie's Angels: Full Throttle,120000000,106.0,en,2003-06-27,259175788,Action
Prometheus,130000000,124.0,en,2012-05-30,403170142,Science Fiction
Stuart Little 2,120000000,78.0,en,2002-07-19,169956806,
Elysium,115000000,109.0,en,2013-08-07,286140700,Science Fiction
The Chronicles of Riddick,105000000,119.0,en,2004-06-11,115772733,Action
RoboCop,120000000,102.0,en,2014-01-30,242688965,Action
Speed Racer,120000000,135.0,en,2008-05-09,93945766,Action
How Do You Know,120000000,121.0,en,2010-12-17,48668907,Comedy
Knight and Day,117000000,109.0,en,2010-06-15,261930431,Action
Oblivion,120000000,124.0,en,2013-04-10,286168572,Action
Star Wars: Episode III - Revenge of the Sith,113000000,140.0,en,2005-05-17,850000000,Science Fiction
Star Wars: Episode II - Attack of the Clones,120000000,142.0,en,2002-05-15,649398328,Adventure
"Monsters, Inc.",115000000,92.0,en,2001-11-01,562816256,Animation
The Wolverine,120000000,126.0,en,2013-07-23,415440673,Action
Star Wars: Episode I - The Phantom Menace,115000000,136.0,en,1999-05-19,924317558,Adventure
The Croods,135000000,98.0,en,2013-03-20,585178928,Adventure
Asterix at the Olympic Games,97250400,116.0,fr,2008-01-13,132900000,Fantasy
Windtalkers,115000000,134.0,en,2002-06-14,77628265,Drama
The Huntsman: Winter's War,115000000,114.0,en,2016-04-06,164602163,Action
Teenage Mutant Ninja Turtles,125000000,101.0,en,2014-08-07,477200000,Science Fiction
Gravity,105000000,91.0,en,2013-09-27,716392705,Science Fiction
Dante's Peak,116000000,108.0,en,1997-02-07,178127760,Action
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,112.0,en,2016-06-01,245623848,Fantasy
Fantastic Four,120000000,100.0,en,2015-08-05,167977596,Action
Night at the Museum,110000000,108.0,en,2006-10-20,574480841,Action
San Andreas,110000000,114.0,en,2015-05-27,470490832,Action
Tomorrow Never Dies,110000000,119.0,en,1997-12-11,333011068,Adventure
The Patriot,110000000,165.0,en,2000-06-28,215294342,Drama
Ocean's Twelve,110000000,125.0,en,2004-12-09,362744280,Thriller
Mr. & Mrs. Smith,110000000,120.0,en,2005-06-07,478207520,Action
Insurgent,110000000,119.0,en,2015-03-18,295238201,Adventure
The Aviator,116000000,170.0,en,2004-12-17,102000000,Drama
Gulliver's Travels,112000000,85.0,en,2010-12-25,237382724,Comedy
The Green Hornet,120000000,119.0,en,2011-01-12,227817248,Action
300: Rise of an Empire,110000000,102.0,en,2014-03-05,337580051,Action
The Smurfs,110000000,103.0,en,2011-07-29,563749323,Animation
Home on the Range,110000000,76.0,en,2004-04-02,103951461,Animation
Allegiant,110000000,121.0,en,2016-03-09,179246868,Adventure
Real Steel,110000000,127.0,en,2011-09-28,299268508,Action
The Smurfs 2,105000000,105.0,en,2013-07-30,347434178,Fantasy
Speed 2: Cruise Control,160000000,121.0,en,1997-06-13,164508066,Action
Ender's Game,110000000,114.0,en,2013-10-23,125537191,Science Fiction
Live Free or Die Hard,110000000,128.0,en,2007-06-20,383531464,Action
The Lord of the Rings: The Fellowship of the Ring,93000000,178.0,en,2001-12-18,871368364,Adventure
Around the World in 80 Days,110000000,120.0,en,2004-06-16,72178895,Action
Ali,107000000,157.0,en,2001-12-11,87713825,Drama
The Cat in the Hat,0,82.0,en,2003-11-21,0,Comedy
"I, Robot",120000000,115.0,en,2004-07-15,347234916,Action
Kingdom of Heaven,130000000,144.0,en,2005-05-03,211643158,Drama
Stuart Little,133000000,84.0,en,1999-12-17,300135367,Animation
The Princess and the Frog,105000000,97.0,en,2009-12-08,267045765,Romance
The Martian,108000000,141.0,en,2015-09-30,630161890,Drama
The Island,126000000,136.0,en,2005-07-20,162949164,Action
Town & Country,90000000,104.0,en,2001-04-27,10372291,Comedy
Gone in Sixty Seconds,90000000,118.0,en,2000-06-09,237202299,Action
Gladiator,103000000,155.0,en,2000-05-01,457640427,Action
Minority Report,102000000,145.0,en,2002-06-20,358372926,Action
Harry Potter and the Chamber of Secrets,100000000,161.0,en,2002-11-13,876688482,Adventure
Casino Royale,150000000,144.0,en,2006-11-14,599045960,Adventure
Planet of the Apes,100000000,119.0,en,2001-07-25,362211740,Thriller
Terminator 2: Judgment Day,100000000,137.0,en,1991-07-01,520000000,Action
Public Enemies,80000000,140.0,en,2009-07-01,214104620,
American Gangster,100000000,157.0,en,2007-11-02,266465037,Drama
True Lies,115000000,141.0,en,1994-07-14,378882411,Action
The Taking of Pelham 1 2 3,100000000,106.0,en,2009-06-11,150166126,Thriller
Little Fockers,100000000,98.0,en,2010-12-21,310650585,Comedy
The Other Guys,100000000,107.0,en,2010-08-06,170432927,Action
Eraser,100000000,115.0,en,1996-06-21,242295562,Action
Django Unchained,100000000,165.0,en,2012-12-25,425368238,Drama
The Hunchback of Notre Dame,100000000,91.0,en,1996-06-21,100138851,Drama
The Emperor's New Groove,100000000,78.0,en,2000-12-09,169327687,Adventure
The Expendables 2,100000000,103.0,en,2012-08-08,312573423,Action
National Treasure,100000000,131.0,en,2004-11-19,347451894,Adventure
Eragon,100000000,104.0,en,2006-12-14,249288105,Fantasy
Where the Wild Things Are,100000000,101.0,en,2009-10-16,100086793,
Epic,100000000,102.0,en,2013-05-15,268426634,Animation
The Tourist,100000000,103.0,en,2010-12-08,278731369,Action
End of Days,100000000,121.0,en,1999-11-24,211989043,Action
Blood Diamond,100000000,143.0,en,2006-12-07,170877916,Drama
The Wolf of Wall Street,100000000,180.0,en,2013-12-25,392000694,Crime
Batman Forever,100000000,121.0,en,1995-05-31,336529144,Action
Starship Troopers,105000000,129.0,en,1997-11-06,121214377,Adventure
Cloud Atlas,102000000,172.0,en,2012-10-26,130482868,Drama
Legend of the Guardians: The Owls of Ga'Hoole,80000000,97.0,en,2010-07-10,140073390,Animation
Catwoman,100000000,104.0,en,2004-07-22,82102379,Action
Hercules,100000000,99.0,en,2014-07-23,243400000,Action
Treasure Planet,140000000,95.0,en,2002-11-26,109578115,Adventure
Land of the Lost,100000000,102.0,en,2009-06-05,68688831,Adventure
The Expendables 3,90000000,127.0,en,2014-08-04,206172544,Action
Point Break,105000000,114.0,en,2015-12-03,133718711,Action
Son of the Mask,84000000,94.0,en,2005-02-18,0,Fantasy
In the Heart of the Sea,100000000,122.0,en,2015-11-20,93820758,Thriller
The Adventures of Pluto Nash,100000000,95.0,en,2002-08-15,7103973,Action
Green Zone,100000000,115.0,en,2010-03-11,94882889,
The Peanuts Movie,99000000,88.0,en,2015-11-05,246233113,Animation
The Spanish Prisoner,10000000,110.0,en,1997-09-08,13835130,Crime
The Mummy Returns,98000000,130.0,en,2001-04-28,433013274,Adventure
Gangs of New York,100000000,167.0,en,2002-12-14,193772504,Drama
The Flowers of War,94000000,145.0,zh,2011-12-15,95311434,Drama
Surf's Up,85000000,85.0,en,2007-06-08,149044513,Animation
The Stepford Wives,90000000,93.0,en,2004-06-10,102000000,Action
Black Hawk Down,92000000,144.0,en,2001-12-28,172989651,Action
The Campaign,0,85.0,en,2012-08-09,104907746,Comedy
The Fifth Element,90000000,126.0,en,1997-05-07,263920180,Adventure
Sex and the City 2,100000000,146.0,en,2010-05-26,288347692,Comedy
The Road to El Dorado,95000000,89.0,en,2000-03-31,76432727,Adventure
Ice Age: Continental Drift,95000000,88.0,en,2012-06-26,877244782,Animation
Cinderella,95000000,105.0,en,2015-03-12,543514353,Romance
The Lovely Bones,65000000,136.0,en,2009-12-26,93525586,Fantasy
Finding Nemo,94000000,100.0,en,2003-05-30,940335536,Animation
The Lord of the Rings: The Return of the King,94000000,201.0,en,2003-12-01,1118888979,Adventure
The Lord of the Rings: The Two Towers,79000000,179.0,en,2002-12-18,926287400,Adventure
Seventh Son,95000000,102.0,en,2014-12-12,114178613,Adventure
Lara Croft: Tomb Raider,115000000,100.0,en,2001-06-11,274703340,Adventure
Transcendence,100000000,119.0,en,2014-04-16,103039258,Thriller
Jurassic Park III,93000000,92.0,en,2001-07-18,368780809,Adventure
Rise of the Planet of the Apes,93000000,105.0,en,2011-08-03,482860185,Thriller
The Spiderwick Chronicles,90000000,95.0,en,2008-02-14,162839667,Adventure
A Good Day to Die Hard,92000000,98.0,en,2013-02-06,304654182,Action
The Alamo,145000000,137.0,en,2004-04-07,25819961,
The Incredibles,92000000,115.0,en,2004-11-05,631442092,Action
Cutthroat Island,98000000,119.0,en,1995-12-22,10017322,Action
Percy Jackson & the Olympians: The Lightning Thief,95000000,118.0,en,2010-02-01,226497209,Adventure
Men in Black,90000000,98.0,en,1997-07-02,589390539,Action
Toy Story 2,90000000,92.0,en,1999-10-30,497366869,Animation
Unstoppable,100000000,98.0,en,2010-11-04,167805466,Action
Rush Hour 2,90000000,90.0,en,2001-08-03,347325802,Action
What Lies Beneath,100000000,130.0,en,2000-07-21,155464351,Drama
Cloudy with a Chance of Meatballs,100000000,90.0,en,2009-09-17,242988466,Animation
Ice Age: Dawn of the Dinosaurs,90000000,94.0,en,2009-06-29,886686817,Animation
The Secret Life of Walter Mitty,90000000,114.0,en,2013-12-18,188133322,Adventure
Charlie's Angels,92000000,98.0,en,2000-11-02,264105545,Action
The Departed,90000000,151.0,en,2006-10-05,289847354,Drama
Mulan,90000000,88.0,en,1998-06-18,304320254,Animation
Tropic Thunder,92000000,107.0,en,2008-08-09,188072649,Action
The Girl with the Dragon Tattoo,90000000,158.0,en,2011-12-14,232617430,Thriller
Die Hard: With a Vengeance,90000000,128.0,en,1995-05-19,366101666,Action
Sherlock Holmes,90000000,128.0,en,2009-12-23,524028679,Action
Ben-Hur,100000000,125.0,en,2016-08-17,94061311,Drama
Atlantis: The Lost Empire,120000000,95.0,en,2001-06-02,186053725,Animation
Alvin and the Chipmunks: The Road Chip,0,92.0,en,2015-12-17,233755553,Adventure
Valkyrie,75000000,121.0,en,2008-12-25,200276000,Drama
You Don't Mess with the Zohan,90000000,113.0,en,2008-06-05,201596308,Comedy
Pixels,88000000,105.0,en,2015-07-16,243637091,Action
A.I. Artificial Intelligence,100000000,146.0,en,2001-06-29,235926552,Drama
The Haunted Mansion,90000000,99.0,en,2003-11-25,182290266,Thriller
Contact,90000000,150.0,en,1997-07-11,171120329,Drama
Hollow Man,95000000,112.0,en,2000-08-04,190213455,Action
The Interpreter,80000000,128.0,en,2005-04-08,162944923,Crime
Percy Jackson: Sea of Monsters,90000000,106.0,en,2013-08-07,174578751,Adventure
Lara Croft Tomb Raider: The Cradle of Life,95000000,117.0,en,2003-07-21,156505388,Action
Now You See Me 2,90000000,129.0,en,2016-06-02,334901337,Action
The Saint,68000000,116.0,en,1997-04-03,118063304,Thriller
Spy Game,92000000,126.0,en,2001-11-18,143049560,Action
Mission to Mars,90000000,114.0,en,2000-03-10,60874615,Science Fiction
Rio,90000000,96.0,en,2011-04-03,484635760,Animation
Bicentennial Man,100000000,131.0,en,1999-12-17,93700000,Comedy
Volcano,90000000,104.0,en,1997-04-25,0,Science Fiction
The Devil's Own,90000000,107.0,en,1997-03-12,140807547,Crime
K-19: The Widowmaker,100000000,138.0,en,2002-07-19,35168966,Drama
Conan the Barbarian,20000000,129.0,en,1982-04-02,79114085,Adventure
Cinderella Man,88000000,144.0,en,2005-06-02,108539911,Romance
The Nutcracker: The Untold Story,90000000,110.0,en,2010-11-24,16178959,Fantasy
Seabiscuit,87000000,141.0,en,2003-07-22,148336445,Drama
Twister,92000000,113.0,en,1996-05-10,494471524,Action
Cast Away,90000000,143.0,en,2000-12-22,429632142,Adventure
Happy Feet,100000000,108.0,en,2006-11-16,384335608,Animation
The Bourne Supremacy,75000000,108.0,en,2004-07-23,288500217,Action
Air Force One,85000000,124.0,en,1997-07-25,315156409,Action
Ocean's Eleven,85000000,116.0,en,2001-12-07,450717150,Thriller
The Three Musketeers,75000000,110.0,en,2011-08-31,132274484,Adventure
Hotel Transylvania,85000000,91.0,en,2012-09-20,358375603,Animation
Enchanted,85000000,107.0,en,2007-11-20,340487652,Comedy
Safe House,85000000,115.0,en,2012-02-09,208076205,Action
102 Dalmatians,85000000,100.0,en,2000-10-07,183611771,Comedy
Tower Heist,75000000,104.0,en,2011-11-02,152930623,Action
The Holiday,85000000,136.0,en,2006-12-08,194168700,Comedy
Enemy of the State,90000000,132.0,en,1998-11-20,250649836,Action
It's Complicated,85000000,121.0,en,2009-12-23,219103655,Comedy
